start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,82.32333435438214,76.75332191702225,737775.2798667096,848741.8994423642
100,200,201,69.87708474048594,68.88772458247192,1024001.1593427885,1053625.6252264343
200,300,201,56.33494286607618,36.90435320912359,1575485.0554027345,3671257.171482517
300,400,201,22.584280770297823,19.596734604777563,9802965.53130697,13019748.111218028
400,500,201,12.738761169571056,10.018764324814411,30811696.656362616,49812883.583393574
500,600,201,16.664694670519598,15.721977725287633,18004260.267773606,20228126.04166235
600,700,201,18.895394263216424,15.9359045472233,14004193.020433959,19688678.38523515
700,800,201,10.155769040844596,7.8529462469377025,48477964.11518987,81078322.54591575
800,900,201,5.959866395654079,5.660741190420293,140765736.22538352,156035495.9317816
900,1000,201,8.360280282628421,6.704575570859466,71536605.59736827,111231405.19301108
1000,1100,201,9.712412968846252,6.364022143270898,53004863.928762145,123454419.0669
1100,1200,201,4.512303957704864,3.543865722683101,245568869.29091194,398121368.4423775
1200,1300,201,4.517511602972172,3.331617162945624,245003027.48613706,450463724.0972473
1300,1400,201,7.040166837358702,4.695059350968699,100879774.33213393,226823386.95610666
1400,1500,201,3.1939995250740907,2.0100043460921655,490117613.1879039,1237587776.966176
1500,1600,201,6.5692427758413245,4.966764375636118,115861562.22932158,202685597.43718183
1600,1700,201,3.2373002918446367,2.376500618533525,477094084.2264486,885307495.0823396
1700,1800,201,2.8382495639651357,2.5669782254580364,620681562.4596558,758797051.780626
1800,1900,201,2.537450377358607,1.8532046577507817,776559770.9927837,1455872149.6435852
1900,2000,201,2.7160750848361555,1.958855450296244,677776428.4687005,1303062437.0895648
2000,2100,201,1.736875301971932,1.1271775497269771,1657420572.196448,3935367945.4316983
2100,2200,201,1.357425077074389,1.0342995104204233,2713552748.2154794,4673877936.354889
2200,2300,201,1.3045681460796692,0.8470886119022418,2937896313.2157116,6968067000.506153
2300,2400,201,2.25635496222099,1.2932665863128616,982098752.6499014,2989467871.6174383
2400,2500,201,1.350449078396009,0.694880214377328,2741659891.618088,10355000217.022047
