start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,8.843297218425406,8.191308492066673,319677.12837782863,372591.9300905976
100,200,201,5.496330068289942,4.426153438473175,827550.2954712007,1276106.9624219977
200,300,201,2.453403246715612,2.0535646406582484,4153384.4953994947,5928205.5419436665
300,400,201,1.0320625824075642,0.7519351874662153,23470802.707164973,44215973.54073365
400,500,201,0.8809135811496412,0.732431319376778,32216132.104421865,46602175.92578289
500,600,201,0.5693939460158454,0.47944642671505205,77110641.85444069,108757655.34360601
600,700,201,0.7173094555404428,0.4983784153530504,48587762.19377592,100651803.00328496
700,800,201,0.2800299255247316,0.24520071834602813,318809400.6744366,415811534.4631664
800,900,201,0.3007080176607573,0.28108866429671325,276471260.96359366,316412290.8601547
900,1000,201,0.44713369377279516,0.35252476222550827,125044678.39675242,201168858.6904531
1000,1100,201,0.3116772487490186,0.25941283569985996,257353337.9115047,371498518.7677855
1100,1200,201,0.48286502883433124,0.37428892385541795,107223135.37795746,178453905.81317627
1200,1300,201,0.17777792492163372,0.1327762889002534,791014315.5793725,1418074203.6331093
1300,1400,201,0.1718702419714539,0.14149558868984374,846327849.0018888,1248688775.723773
1400,1500,201,0.10760539825355231,0.10131232019843932,2159095689.2030826,2435653392.7225533
1500,1600,201,0.12597395181473903,0.10153383510171395,1575355239.8390028,2425037326.090089
1600,1700,201,0.12261553698969992,0.10388198758448502,1662834397.4945204,2316645105.0546303
1700,1800,201,0.09118536130035679,0.08314603426661114,3006697678.083309,3616237361.202123
1800,1900,201,0.08516999021598262,0.06700780521381228,3446408985.869395,5567871737.861207
1900,2000,201,0.11667617393649146,0.08888135736149304,1836435376.197006,3164598748.179766
2000,2100,201,0.08656765996963868,0.05244391127463756,3336020051.517226,9089706506.931864
2100,2200,201,0.07232940291190025,0.04204003341883338,4778705301.104474,14145356702.089558
2200,2300,201,0.04750651009596954,0.03170561831387006,11077295812.051592,24869528666.352093
2300,2400,201,0.0360666080824865,0.025874708404507354,19218938960.03025,37341269636.65125
2400,2500,201,0.03136469828087069,0.02439810976178449,25413107902.60395,41997906962.37333
