job_id,wc_eV,eta,back_replicas_min,back_replicas_max,ntraj,ranks,runtime_seconds,minimum_aggregate_Q,minimum_strict_Q,purpose
646411,2.7,0.5e-6,192,256,250000,64,1204,0.0211918,0.0171296,B scan
646412,2.7,0.5e-6,384,512,250000,64,2436,0.0486529,0.0300137,B scan
646413,2.7,0.5e-6,768,1024,250000,64,4943,0.0933577,0.0508414,B scan
646414,2.7,0.5e-6,256,512,250000,64,2194,0.0407487,0.0249574,B allocation scan
646415,2.7,0.5e-6,512,1024,250000,64,4223,0.0887031,0.0469722,B allocation scan
646416,2.7,0.4e-6,256,512,250000,64,1855,0.0583880,0.0389461,eta coarse scan
646417,2.7,0.3e-6,256,512,250000,64,1506,0.0873085,0.0530048,eta coarse scan
646435,2.7,0.25e-6,192,256,250000,64,773,0.0607021,0.0302037,eta fine scan
646436,2.7,0.30e-6,192,256,250000,64,882,0.0516191,0.0368041,eta fine scan
646437,2.7,0.35e-6,192,256,250000,64,979,0.0313647,0.0243981,eta fine scan
646440,2.7,0.30e-6,256,512,50000000,384,53120,1.3045681,0.6948802,final single run
