start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,7.0216127584206145,6.373007668011741,507068.0650705912,615532.6957096762
100,200,201,3.6492738479651385,3.255268843139291,1877271.5524408063,2359208.290367893
200,300,201,3.702434033244915,3.0627438602426187,1823750.1890131435,2665131.5641179048
300,400,201,1.5662894067042972,1.2764825512776232,10190511.591564655,15342998.528227093
400,500,201,1.003247793586059,0.9267205101959513,24838398.02096367,29110016.981666733
500,600,201,1.0161322862393296,0.9761186562827318,24212492.94910121,26238244.933034685
600,700,201,0.6812489652091277,0.5819308288770627,53867683.21454848,73823949.87043984
700,800,201,0.4817268749262273,0.3883010414705533,107730396.24238898,165807013.88725576
800,900,201,0.7505989790906521,0.5565493111852683,44373539.28271711,80710996.5261862
900,1000,201,0.5669075830466921,0.5398617563116768,77788514.1827013,85777795.81156409
1000,1100,201,0.7040603139677758,0.4706742909010588,50433635.895423025,112849348.11986358
1100,1200,201,0.41846871502027183,0.36246730832024376,142762458.3481502,190284022.31451622
1200,1300,201,0.5077197177021575,0.3837465866417084,96982181.50597848,169766094.4479954
1300,1400,201,0.22689452996432286,0.15148130191822315,485614847.6820062,1089486744.2932234
1400,1500,201,0.31612189068472224,0.2853722929145996,250167487.708197,306984465.5061457
1500,1600,201,0.20937573710809418,0.18259959800337833,570278898.429913,749791261.3145629
1600,1700,201,0.21795821804431834,0.1955682696116032,526251699.62732595,653646924.937448
1700,1800,201,0.19788684172362547,0.17526511239813858,638419544.8798089,813858787.886465
1800,1900,201,0.18159295470563203,0.13382766567479462,758127095.1970094,1395880380.6700592
1900,2000,201,0.18806907378095342,0.12163849613254454,706814153.2673796,1689654558.7126927
2000,2100,201,0.19236215759732403,0.13233585806894746,675617249.8389148,1427528979.1363056
2100,2200,201,0.11785132238892612,0.10670676640376164,1799994129.148258,2195614497.8726854
2200,2300,201,0.1360508601452531,0.07415444275394314,1350633212.6442804,4546379212.735065
2300,2400,201,0.11487487713260351,0.06681049909561908,1894479407.2241197,5600806601.132269
2400,2500,201,0.08730846585239438,0.05300475599460187,3279648457.4786825,8898367325.206593
