label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
hybrid8m,0,True,4.58239025622224e-07,4.556104241703759e-07,5.1792724269778965e-08,8.847555946957714,0.994263689243231,0.9935923070657203,0.93934156738069,8.675542280123238e-07,8.673943269199569e-07,4.787075653656103e-07
hybrid8m,1,True,3.972584122807641e-12,3.880264064465578e-10,3.87997248426418e-10,0.010238691482785153,97.67607039931441,0.012458497158391198,-0.002971794390460084,5.902056621209795e-12,1.3211713945082693e-09,1.3242394958368209e-09
hybrid8m,2,True,6.290946254333664e-12,3.9104385106152425e-10,3.9088561686571015e-10,0.016094084772873433,62.159782527492524,0.033191383228833034,0.013322518068276893,8.38917824097507e-12,1.3290404332622074e-09,1.3357116523948775e-09
hybrid8m,3,True,1.0033358576080652e-11,3.950917202369418e-10,3.946064481564716e-10,0.02542624081019114,39.37781324578924,0.06103366916781539,0.0362992890489918,1.402444826936744e-11,1.4462583353136438e-09,1.4322411034939364e-09
hybrid8m,4,True,1.504600267605162e-11,3.9608627078996447e-10,3.9479721135575104e-10,0.03811071163441855,26.32501663849934,0.10452847183732718,0.07453254805376126,2.5793478464208874e-11,1.4491667865712543e-09,1.4234760037368233e-09
hybrid8m,5,False,9.754600512868656e-08,9.720695401981141e-08,9.7056408727739e-09,10.050444520600486,0.9965241927803413,0.9950388620330846,0.9568438787490303,1.830135343798703e-07,1.8296527921795175e-07,9.334181581753649e-08
hybrid8m,6,False,9.478031509112617e-08,9.43735948220394e-08,1.0259328633630417e-08,9.238451995819021,0.9957088107515181,0.9941256996411634,0.9492706222641973,1.78326352409784e-07,1.7827869074227918e-07,9.55197871399843e-08
hybrid8m,7,False,9.208012798114542e-08,9.152491474327255e-08,1.0876539651600915e-08,8.46593962148542,0.9939703250848374,0.9929997572880509,0.9399693835739301,1.7357192766189446e-07,1.7352488623030042e-07,1.0053232248251371e-07
hybrid8m,8,False,8.944719708422151e-08,8.894306647151544e-08,1.1025711616408378e-08,8.112600818536455,0.9943639305742427,0.992375777929805,0.9342922154641375,1.6875649056255678e-07,1.6871009664884038e-07,1.0039828344415003e-07
hybrid8m,9,False,8.688329279246741e-08,8.627248483224121e-08,1.0544769500486005e-08,8.239468182634337,0.9929697880847449,0.9926077617432305,0.9353233176008602,1.6388642781550723e-07,1.6384070921545066e-07,8.857951283349137e-08
