label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
pathwise,0,True,4.7864089981421e-07,4.82267355726863e-07,4.624977691314648e-08,10.349042347016306,1.0075765692277043,0.9953951736166564,0.9737835763606841,8.675542280123238e-07,8.644732758522622e-07,2.470196118764534e-07
pathwise,1,True,3.857850608615971e-12,4.831596640723687e-11,4.912399573489173e-11,0.07853291555181496,12.524063606644049,-0.17127891961277714,-0.1971375633701364,5.902056621209795e-12,1.585394038272625e-10,1.6434731353598409e-10
pathwise,2,True,4.696200334722037e-12,4.6695468922623405e-11,4.649403492508631e-11,0.1010065128201673,9.9432446647077,0.09308585473857997,0.02111606477812435,8.145595309372311e-12,1.9551893437608214e-10,1.8833001824702933e-10
pathwise,3,True,5.546262488241668e-12,5.106682050186087e-11,5.0477397485280667e-11,0.10987615773691525,9.207429437413914,0.1599645690220966,-0.0015100338542957108,1.0573542041925066e-11,1.4226864131217098e-10,1.51035628448426e-10
pathwise,4,True,6.323621777076583e-12,4.5851909873666566e-11,4.543716097656257e-11,0.1391729069590954,7.250893789992601,0.13424762436845805,0.027952705954206302,1.2859935338838113e-11,1.3529033449088956e-10,1.383287928646837e-10
pathwise,5,False,1.0257543409453147e-07,1.1082792122580618e-07,2.9280095509370206e-08,3.503247933795343,1.0804528609030246,0.9652883080488107,0.8454936555342992,1.830135343798703e-07,2.1343253670780713e-07,1.0129331132030846e-07
pathwise,6,False,9.954543556049451e-08,9.402939352913863e-08,2.6207750942509653e-08,3.7983204197438107,0.944587695053042,0.9649355940704518,0.8405774509196072,1.78326352409784e-07,1.7628005412812435e-07,1.0803246633197566e-07
pathwise,7,False,9.653665609001578e-08,1.0838323655808602e-07,2.856416641163478e-08,3.3796419856556494,1.1227158775525008,0.9677160936405381,0.8792970302395019,1.7357192766189446e-07,1.9974092137161256e-07,7.617156058592852e-08
pathwise,8,False,9.361599676062314e-08,8.370654166533639e-08,3.316817201791533e-08,2.822464762606084,0.8941478439777198,0.9360709773756835,0.7353262836176626,1.6875649056255678e-07,1.7224505957158603e-07,9.237771076502824e-08
pathwise,9,False,9.084563670992115e-08,1.0884813575427327e-07,3.0523613264639055e-08,2.9762412438623005,1.1981658084673437,0.9692770147558584,0.863035113714012,1.6388642781550723e-07,2.268161518196594e-07,9.550598889468867e-08
hybrid,0,True,4.7864089981421e-07,4.7152145883405807e-07,4.602428166110778e-08,10.39974731900442,0.9851257153684204,0.9954194845757098,0.9743070566255995,8.675542280123238e-07,8.607086007250686e-07,2.810503771932815e-07
hybrid,1,True,3.857850608615971e-12,4.1867113278998806e-10,4.1796001871303085e-10,0.009230190534718945,108.5244544863776,0.18877980087383595,0.1806775822353672,5.902056621209795e-12,1.789904113813634e-09,1.784061787191149e-09
hybrid,2,True,4.696200334722037e-12,4.0614976582005127e-10,4.0515212558713114e-10,0.011591202509221642,86.48476148198453,0.21795607937015754,0.2316438578350407,8.145595309372311e-12,1.5431996791548386e-09,1.5350540838454663e-09
hybrid,3,True,5.546262488241668e-12,3.958462023222037e-10,3.9462304450781874e-10,0.01405458339403131,71.37170358622873,0.22720216012282665,0.25594305621819047,1.0573542041925066e-11,1.4748089416372068e-09,1.4650749502465032e-09
hybrid,4,True,6.323621777076583e-12,3.913903413285085e-10,3.9007952967630167e-10,0.016211109007242937,61.893382483328836,0.2150194093109634,0.2548672570071178,1.2859935338838113e-11,1.5488845761524317e-09,1.5372608741515137e-09
hybrid,5,False,1.0257543409453147e-07,1.0177889490898209e-07,9.722084239142828e-09,10.55076582051662,0.9922346008809935,0.9955036245957772,0.9769536644907837,1.830135343798703e-07,1.815402021675631e-07,6.001007137521033e-08
hybrid,6,False,9.954543556049451e-08,9.844808882079655e-08,9.676339254185597e-09,10.287509867684221,0.9889764233435787,0.9952843456329505,0.9756276357613479,1.78326352409784e-07,1.7690136319242802e-07,6.20236018723994e-08
hybrid,7,False,9.653665609001578e-08,9.509421966543201e-08,9.504162863201664e-09,10.157302382073818,0.9850581480340612,0.9951934782534718,0.9751210912870015,1.7357192766189446e-07,1.7219574366482926e-07,5.958699080613754e-08
hybrid,8,False,9.361599676062314e-08,9.18203929508877e-08,9.151322685833947e-09,10.229777702576122,0.9808194766720605,0.9953162024360457,0.9757871241030197,1.6875649056255678e-07,1.6742949146893495e-07,5.456371283170221e-08
hybrid,9,False,9.084563670992115e-08,8.900891359981311e-08,8.714406574403546e-09,10.424764547566344,0.9797819336555164,0.9955128191236325,0.9767338363031368,1.6388642781550723e-07,1.626089089822124e-07,4.617643273852114e-08
