label,orbital,initially_occupied,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,qm_peak_abs,simulation_peak_abs,max_abs_error
strict_path_1m,0,True,4.58239025622224e-07,4.4900195312445026e-07,7.036234365723149e-08,6.512560580052943,0.9798422395708635,0.988176109955858,0.8911134746933599,8.675542280123238e-07,8.611454133111707e-07,5.150607592652179e-07
strict_path_1m,1,True,3.972584122807641e-12,1.3775769679598963e-10,1.375007019286261e-10,0.028891373404549826,34.6770999775906,0.07905050863414007,0.00982911752202686,5.902056621209795e-12,6.674755193003534e-10,6.648175343570983e-10
strict_path_1m,2,True,6.290946254333664e-12,1.2736773152351815e-10,1.267559632249196e-10,0.04963037709847875,20.246196100591057,0.12170828454658124,0.050676891429914245,8.38917824097507e-12,6.059642787548114e-10,5.994801322017906e-10
strict_path_1m,3,True,1.0033358576080652e-11,1.2852287174554763e-10,1.2806437392127523e-10,0.07834621190002802,12.809556318653243,0.08464918948822117,0.03547611564863892,1.402444826936744e-11,6.951732522963994e-10,7.091388587454617e-10
strict_path_1m,4,True,1.504600267605162e-11,1.597793985525081e-10,1.5585128454252802e-10,0.09654076782373862,10.619391873884572,0.30494807436695154,0.1803003723264317,2.5793478464208874e-11,7.95402632647324e-10,8.200681245185137e-10
strict_path_1m,5,False,9.754600512868656e-08,9.990488163007757e-08,4.322814455249228e-08,2.2565392555823363,1.0241821948349303,0.9044101280196659,0.5664430878564735,1.830135343798703e-07,2.4487534608730544e-07,1.9633273762208322e-07
strict_path_1m,6,False,9.478031509112617e-08,1.0776354171460618e-07,4.260276722717903e-08,2.224745509739089,1.1369823112636557,0.9194021061238059,0.6064378140334534,1.78326352409784e-07,2.415611575237217e-07,1.6399566029126008e-07
strict_path_1m,7,False,9.208012798114542e-08,9.555123623909473e-08,4.4658780891058225e-08,2.0618594181011805,1.0376966054897325,0.8873451500535761,0.5142557992707895,1.7357192766189446e-07,2.1379059425265854e-07,1.6406632558155649e-07
strict_path_1m,8,False,8.944719708422151e-08,9.107024459002174e-08,4.4961644878600537e-08,1.9894111375536851,1.018145314316244,0.8760790172680056,0.48475581153055664,1.6875649056255678e-07,1.9706472034859666e-07,1.9649863894795055e-07
strict_path_1m,9,False,8.688329279246741e-08,1.0024840783035597e-07,4.064962818910856e-08,2.1373699259504284,1.153828366862349,0.9153971928224949,0.5861773494908237,1.6388642781550723e-07,2.2896109137112174e-07,1.5323666331865952e-07
all_order_rb_1m,0,True,4.58239025622224e-07,4.5279294375501044e-07,6.135320184901996e-08,7.468868971987381,0.9881151941177019,0.9910005243281499,0.9147918702799275,8.675542280123238e-07,8.682318630715002e-07,5.117934273046743e-07
all_order_rb_1m,1,True,3.972584122807641e-12,1.0886420660432618e-09,1.0886141431141223e-09,0.0036492123016549716,274.038769825687,0.008853377413461868,0.0034599360332848435,5.902056621209795e-12,4.306859757718939e-09,4.304238410135497e-09
all_order_rb_1m,2,True,6.290946254333664e-12,1.0758620756983827e-09,1.075840213609717e-09,0.005847472677402477,171.01752776178148,0.00639880859338949,0.013883767470862948,8.38917824097507e-12,4.03805811011182e-09,4.031680100879953e-09
all_order_rb_1m,3,True,1.0033358576080652e-11,1.0484627370082963e-09,1.0485282364714348e-09,0.009568992257037794,104.49768430561355,-0.0017435781591862566,0.008113484076496782,1.402444826936744e-11,3.947514759516935e-09,3.961269645635923e-09
all_order_rb_1m,4,True,1.504600267605162e-11,1.0309899275933807e-09,1.0311257760465547e-09,0.014591820925803627,68.52251390559593,-0.0017325964251138734,0.005362094451046039,2.5793478464208874e-11,4.215852222877459e-09,4.191186731006269e-09
all_order_rb_1m,5,False,9.754600512868656e-08,9.677617678235962e-08,1.1221643866949018e-08,8.692666269332225,0.9921080484504583,0.9933617088497773,0.9424619758271893,1.830135343798703e-07,1.8316491382334513e-07,9.281737059304669e-08
all_order_rb_1m,6,False,9.478031509112617e-08,9.38076032985603e-08,1.1997340243014427e-08,7.900110622128349,0.9897371960450789,0.9919588253237105,0.9304596553709886,1.78326352409784e-07,1.7847363873573197e-07,9.657301496032667e-08
all_order_rb_1m,7,False,9.208012798114542e-08,9.098195649817605e-08,1.2625876634515192e-08,7.292969086156536,0.9880737406968609,0.9905577844546313,0.9185047341273335,1.7357192766189446e-07,1.7371496631949297e-07,9.975747702848919e-08
all_order_rb_1m,8,False,8.944719708422151e-08,8.824715398633936e-08,1.29694646212827e-08,6.896753235090366,0.9865837819741604,0.989436388036215,0.9088222458402716,1.6875649056255678e-07,1.688951248980952e-07,1.0365310293214252e-07
all_order_rb_1m,9,False,8.688329279246741e-08,8.55571159269838e-08,1.3065073044531655e-08,6.6500426362967895,0.9847361118247283,0.9886367287778011,0.9019150994280748,1.6388642781550723e-07,1.640204991432938e-07,1.0927612433525075e-07
truncated_hybrid_8m_rejected,0,True,4.58239025622224e-07,4.556104241703759e-07,5.1792724269778965e-08,8.847555946957714,0.994263689243231,0.9935923070657203,0.93934156738069,8.675542280123238e-07,8.673943269199569e-07,4.787075653656103e-07
truncated_hybrid_8m_rejected,1,True,3.972584122807641e-12,3.880264064465578e-10,3.87997248426418e-10,0.010238691482785153,97.67607039931441,0.012458497158391198,-0.002971794390460084,5.902056621209795e-12,1.3211713945082693e-09,1.3242394958368209e-09
truncated_hybrid_8m_rejected,2,True,6.290946254333664e-12,3.9104385106152425e-10,3.9088561686571015e-10,0.016094084772873433,62.159782527492524,0.033191383228833034,0.013322518068276893,8.38917824097507e-12,1.3290404332622074e-09,1.3357116523948775e-09
truncated_hybrid_8m_rejected,3,True,1.0033358576080652e-11,3.950917202369418e-10,3.946064481564716e-10,0.02542624081019114,39.37781324578924,0.06103366916781539,0.0362992890489918,1.402444826936744e-11,1.4462583353136438e-09,1.4322411034939364e-09
truncated_hybrid_8m_rejected,4,True,1.504600267605162e-11,3.9608627078996447e-10,3.9479721135575104e-10,0.03811071163441855,26.32501663849934,0.10452847183732718,0.07453254805376126,2.5793478464208874e-11,1.4491667865712543e-09,1.4234760037368233e-09
truncated_hybrid_8m_rejected,5,False,9.754600512868656e-08,9.720695401981141e-08,9.7056408727739e-09,10.050444520600486,0.9965241927803413,0.9950388620330846,0.9568438787490303,1.830135343798703e-07,1.8296527921795175e-07,9.334181581753649e-08
truncated_hybrid_8m_rejected,6,False,9.478031509112617e-08,9.43735948220394e-08,1.0259328633630417e-08,9.238451995819021,0.9957088107515181,0.9941256996411634,0.9492706222641973,1.78326352409784e-07,1.7827869074227918e-07,9.55197871399843e-08
truncated_hybrid_8m_rejected,7,False,9.208012798114542e-08,9.152491474327255e-08,1.0876539651600915e-08,8.46593962148542,0.9939703250848374,0.9929997572880509,0.9399693835739301,1.7357192766189446e-07,1.7352488623030042e-07,1.0053232248251371e-07
truncated_hybrid_8m_rejected,8,False,8.944719708422151e-08,8.894306647151544e-08,1.1025711616408378e-08,8.112600818536455,0.9943639305742427,0.992375777929805,0.9342922154641375,1.6875649056255678e-07,1.6871009664884038e-07,1.0039828344415003e-07
